Episode,Steps,Reward,Success,Collision,Timeout,Moving_Success_Rate_50Ep,Epsilon,Avg_Loss
96,250,-1.43,0,0,1,0.0,0.05,0.194689
97,172,-10.4203,0,1,0,0.0,0.05,0.25687
98,134,-17.242,0,1,0,0.0,0.05,0.200948
99,250,0.2826,0,0,1,0.0,0.05,0.208902
100,250,6.057,0,0,1,0.0,0.05,0.274169
101,250,-2.9007,0,0,1,0.0,0.05,0.218915
102,250,-10.8839,0,0,1,0.0,0.05,0.305497
103,244,-9.0395,0,1,0,0.0,0.05,0.224805
104,250,12.4055,0,0,1,0.0,0.05,0.221254
105,250,-0.97,0,0,1,0.0,0.05,0.206625
106,250,4.6313,0,0,1,0.0,0.05,0.158612
107,250,-2.375,0,0,1,0.0,0.05,0.131414
108,250,18.1026,0,0,1,0.0,0.05,0.247412
109,117,-3.39,0,1,0,0.0,0.05,0.183081
110,250,4.5486,0,0,1,0.0,0.05,0.172034
111,236,24.3872,1,0,0,0.02,0.05,0.177111
112,129,-9.9296,0,1,0,0.02,0.05,0.212982
113,250,15.9956,0,0,1,0.02,0.05,0.196135
114,208,-5.5565,0,1,0,0.02,0.05,0.172996
115,250,3.5009,0,0,1,0.02,0.05,0.233295
116,167,-12.0117,0,1,0,0.02,0.05,0.203017
117,250,-9.5046,0,0,1,0.02,0.05,0.199804
118,250,13.2576,0,0,1,0.02,0.05,0.223883
119,217,-10.5077,0,1,0,0.02,0.05,0.181159
120,250,-2.7545,0,0,1,0.02,0.05,0.260598
121,250,0.25,0,0,1,0.02,0.05,0.1907
122,250,1.9248,0,0,1,0.02,0.05,0.277843
123,250,2.9272,0,0,1,0.02,0.05,0.219021
124,250,7.0166,0,0,1,0.02,0.05,0.168803
125,250,11.6175,0,0,1,0.02,0.05,0.220123
126,250,-0.8095,0,0,1,0.02,0.05,0.214595
127,250,19.2155,0,0,1,0.02,0.05,0.196921
128,250,4.512,0,0,1,0.02,0.05,0.202329
129,250,-2.8772,0,0,1,0.02,0.05,0.223945
130,250,-3.5899,0,0,1,0.02,0.05,0.192215
131,250,-1.9612,0,0,1,0.02,0.05,0.222804
132,159,-14.3221,0,1,0,0.02,0.05,0.215961
133,122,-0.8354,0,1,0,0.02,0.05,0.249894
134,250,18.1271,0,0,1,0.02,0.05,0.237114
135,250,18.1707,0,0,1,0.02,0.05,0.194605
136,186,-4.4095,0,1,0,0.02,0.05,0.272316
137,177,-4.1548,0,1,0,0.02,0.05,0.241247
138,250,14.3715,0,0,1,0.02,0.05,0.272298
139,225,-16.001,0,1,0,0.02,0.05,0.264015
140,250,2.5573,0,0,1,0.02,0.05,0.260516
141,250,10.8504,0,0,1,0.02,0.05,0.198081
142,230,-17.4347,0,1,0,0.02,0.05,0.238858
143,250,-2.5151,0,0,1,0.02,0.05,0.266506
144,250,19.286,0,0,1,0.02,0.05,0.195623
145,250,-10.8811,0,0,1,0.02,0.05,0.208371
146,250,11.4053,0,0,1,0.02,0.05,0.270423
147,250,-2.9044,0,0,1,0.02,0.05,0.216261
148,250,21.4527,0,0,1,0.02,0.05,0.231297
149,250,0.9909,0,0,1,0.02,0.05,0.19837
150,140,-10.6415,0,1,0,0.02,0.05,0.253753
151,158,-8.1254,0,1,0,0.02,0.05,0.184983
152,250,-3.2147,0,0,1,0.02,0.05,0.24034
153,250,-2.2421,0,0,1,0.02,0.05,0.234064
154,250,-11.2428,0,0,1,0.02,0.05,0.210518
155,104,-4.643,0,1,0,0.02,0.05,0.227632
156,250,-5.7637,0,0,1,0.02,0.05,0.217053
157,250,18.1122,0,0,1,0.02,0.05,0.244977
158,136,-9.1075,0,1,0,0.02,0.05,0.198356
159,186,-7.7847,0,1,0,0.02,0.05,0.178123
160,152,-11.6999,0,1,0,0.02,0.05,0.154404
161,250,19.1402,0,0,1,0.0,0.05,0.234801
162,250,13.2043,0,0,1,0.0,0.05,0.24243
163,250,2.595,0,0,1,0.0,0.05,0.246528
164,250,20.9718,0,0,1,0.0,0.05,0.233908
165,250,15.4043,0,0,1,0.0,0.05,0.210192
166,250,10.1959,0,0,1,0.0,0.05,0.168652
167,185,24.7792,1,0,0,0.02,0.05,0.192646
168,250,12.884,0,0,1,0.02,0.05,0.212988
169,250,16.4596,0,0,1,0.02,0.05,0.222754
170,250,7.2536,0,0,1,0.02,0.05,0.23497
171,250,-5.0991,0,0,1,0.02,0.05,0.210501
172,250,-11.0488,0,0,1,0.02,0.05,0.202559
173,117,-15.252,0,1,0,0.02,0.05,0.241543
174,250,11.4146,0,0,1,0.02,0.05,0.191942
175,250,15.3536,0,0,1,0.02,0.05,0.246132
176,250,-10.1882,0,0,1,0.02,0.05,0.233477
177,164,-19.4749,0,1,0,0.02,0.05,0.218919
178,250,20.1682,0,0,1,0.02,0.05,0.176534
179,250,17.7746,0,0,1,0.02,0.05,0.167402
180,250,10.4793,0,0,1,0.02,0.05,0.202817
181,250,-1.74,0,0,1,0.02,0.05,0.227866
182,237,-5.6311,0,1,0,0.02,0.05,0.221531
183,193,25.8088,1,0,0,0.04,0.05,0.249221
184,250,0.1103,0,0,1,0.04,0.05,0.186416
185,250,12.1096,0,0,1,0.04,0.05,0.220452
186,250,0.9872,0,0,1,0.04,0.05,0.183958
187,177,-16.1384,0,1,0,0.04,0.05,0.16077
188,250,13.1982,0,0,1,0.04,0.05,0.148586
189,250,-4.8304,0,0,1,0.04,0.05,0.190174
190,250,10.227,0,0,1,0.04,0.05,0.144405
191,250,4.0528,0,0,1,0.04,0.05,0.236629
192,250,16.4469,0,0,1,0.04,0.05,0.160346
193,250,1.6602,0,0,1,0.04,0.05,0.188127
194,246,29.188,1,0,0,0.06,0.05,0.206694
195,250,2.1384,0,0,1,0.06,0.05,0.222622
196,250,11.1559,0,0,1,0.06,0.05,0.228978
197,250,9.5552,0,0,1,0.06,0.05,0.149917
198,160,-10.107,0,1,0,0.06,0.05,0.138679
199,250,13.9215,0,0,1,0.06,0.05,0.160468
200,250,13.5975,0,0,1,0.06,0.05,0.175372
201,126,-4.5535,0,1,0,0.06,0.05,0.149375
202,250,8.0251,0,0,1,0.06,0.05,0.185085
203,250,5.499,0,0,1,0.06,0.05,0.156364
204,250,11.7364,0,0,1,0.06,0.05,0.14217
205,250,16.1092,0,0,1,0.06,0.05,0.162536
206,250,8.0503,0,0,1,0.06,0.05,0.204216
207,250,15.9812,0,0,1,0.06,0.05,0.155793
208,250,10.1398,0,0,1,0.06,0.05,0.152856
209,250,4.2519,0,0,1,0.06,0.05,0.195565
210,250,-10.0025,0,0,1,0.06,0.05,0.16759
211,232,-17.4191,0,1,0,0.06,0.05,0.23864
212,250,10.5574,0,0,1,0.06,0.05,0.218883
213,250,16.2849,0,0,1,0.06,0.05,0.168128
214,250,16.2839,0,0,1,0.06,0.05,0.19058
215,224,26.224,1,0,0,0.08,0.05,0.17392
216,250,5.9715,0,0,1,0.08,0.05,0.181568
217,250,14.0551,0,0,1,0.06,0.05,0.190846
218,250,13.6507,0,0,1,0.06,0.05,0.201326
219,250,12.472,0,0,1,0.06,0.05,0.176741
220,185,-18.2624,0,1,0,0.06,0.05,0.136175
221,250,4.7444,0,0,1,0.06,0.05,0.188767
222,250,9.9459,0,0,1,0.06,0.05,0.191706
223,250,15.3581,0,0,1,0.06,0.05,0.166242
224,250,13.1473,0,0,1,0.06,0.05,0.179685
225,223,24.9397,1,0,0,0.08,0.05,0.154142
226,250,-2.1699,0,0,1,0.08,0.05,0.162119
227,250,-6.486,0,0,1,0.08,0.05,0.195976
228,250,5.1402,0,0,1,0.08,0.05,0.185159
229,250,13.3761,0,0,1,0.08,0.05,0.159866
230,222,22.9354,1,0,0,0.1,0.05,0.192273
231,250,15.1801,0,0,1,0.1,0.05,0.157787
232,179,-12.2552,0,1,0,0.1,0.05,0.121613
233,250,-0.9038,0,0,1,0.08,0.05,0.138717
234,250,7.3013,0,0,1,0.08,0.05,0.16473
235,250,12.186,0,0,1,0.08,0.05,0.129234
236,146,-6.8555,0,1,0,0.08,0.05,0.195506
237,225,22.6849,1,0,0,0.1,0.05,0.162955
238,250,-3.4115,0,0,1,0.1,0.05,0.195211
239,250,5.0479,0,0,1,0.1,0.05,0.156443
240,161,24.5721,1,0,0,0.12,0.05,0.179035
241,250,9.4463,0,0,1,0.12,0.05,0.156971
