Epoch,Train_Loss,Train_Accuracy,Valid_Loss,Valid_Accuracy,LR
1,0.8547,0.681,0.8063,0.8118,0.001
2,0.7807,0.6821,0.6826,0.8258,0.001
3,0.7445,0.6913,0.6158,0.8223,0.001
4,0.7256,0.6967,0.5101,0.8328,0.001
5,0.6966,0.6977,0.5378,0.8153,0.001
