Episode,Baseline_D3QN_Reward,VLA_Guarded_Reward,Baseline_Success_Rate,VLA_Guarded_Success_Rate,Baseline_Outcome,VLA_Guarded_Outcome
112,26.4599,26.6204,0.12,0.22,success,success
113,12.3929,14.0401,0.12,0.22,timeout,timeout
114,13.3062,15.7609,0.12,0.22,timeout,timeout
115,11.716,26.6764,0.12,0.24,timeout,success
116,12.8943,14.9556,0.12,0.24,timeout,timeout
117,-2.7753,14.584,0.12,0.24,timeout,timeout
118,11.3246,13.5873,0.12,0.24,timeout,timeout
119,7.4184,9.7377,0.12,0.24,timeout,timeout
120,25.1643,24.8287,0.14,0.26,success,success
121,26.1215,27.1213,0.16,0.26,success,success
122,3.1651,-1.2406,0.16,0.26,timeout,collision
123,27.9787,28.1499,0.18,0.28,success,success
124,23.0707,23.1489,0.2,0.3,success,success
125,0.7205,10.9138,0.2,0.3,timeout,timeout
126,-0.6773,1.0601,0.18,0.3,collision,collision
127,23.2701,23.2894,0.2,0.32,success,success
128,-4.1921,7.7991,0.2,0.32,collision,timeout
129,26.3536,25.3783,0.22,0.34,success,success
130,-5.6056,9.3554,0.22,0.34,collision,timeout
131,-4.8874,0.0901,0.22,0.34,timeout,collision
132,24.5137,25.2236,0.24,0.36,success,success
133,22.8444,23.3629,0.26,0.38,success,success
134,16.3526,27.261,0.26,0.4,timeout,success
135,10.0322,9.7906,0.26,0.38,timeout,timeout
136,-6.0013,-9.6996,0.26,0.38,collision,collision
137,22.6622,22.6419,0.28,0.38,success,success
138,-9.3448,18.0208,0.28,0.38,timeout,timeout
139,10.7471,13.7054,0.28,0.38,timeout,timeout
140,0.1166,25.9723,0.26,0.38,timeout,success
141,15.0148,10.9826,0.26,0.38,timeout,timeout
142,8.7611,5.9528,0.26,0.38,timeout,timeout
143,15.945,15.0204,0.26,0.38,timeout,timeout
144,-6.2607,3.7311,0.24,0.36,collision,timeout
145,26.6555,26.4142,0.26,0.36,success,success
146,15.6058,18.9034,0.26,0.36,timeout,timeout
147,16.6703,14.0674,0.26,0.36,timeout,timeout
148,-6.7662,14.0696,0.24,0.34,collision,timeout
149,10.4794,14.479,0.24,0.34,timeout,timeout
150,19.6147,19.499,0.24,0.34,timeout,timeout
151,9.7317,16.6442,0.24,0.34,timeout,timeout
152,4.9223,3.7519,0.24,0.34,timeout,timeout
153,12.8698,22.347,0.24,0.34,timeout,timeout
154,2.6146,2.9568,0.24,0.34,timeout,timeout
155,8.2132,10.1611,0.24,0.32,timeout,timeout
156,0.0475,9.5075,0.22,0.3,timeout,timeout
157,3.4917,3.1094,0.22,0.3,timeout,timeout
158,13.3174,24.4136,0.22,0.32,timeout,success
159,-7.9315,14.3846,0.22,0.32,collision,timeout
160,-19.493,14.9895,0.22,0.32,collision,timeout
161,10.4925,-17.1145,0.22,0.3,timeout,collision
162,25.8649,26.1961,0.22,0.3,success,success
163,-3.722,22.7452,0.22,0.32,timeout,success
164,3.4983,2.0164,0.22,0.32,timeout,timeout
165,0.5074,-5.2858,0.22,0.3,timeout,collision
166,12.8539,24.0749,0.22,0.32,timeout,success
167,4.8789,-2.1263,0.22,0.32,timeout,collision
168,23.4558,23.5079,0.24,0.34,success,success
169,13.1262,12.402,0.24,0.34,timeout,timeout
170,24.0269,24.1306,0.24,0.34,success,success
171,13.0102,26.5838,0.22,0.34,timeout,success
172,11.1169,19.0099,0.22,0.34,timeout,timeout
173,-8.018,-3.4637,0.2,0.32,timeout,collision
174,16.2071,10.5632,0.18,0.3,timeout,timeout
175,14.0184,14.7891,0.18,0.3,timeout,timeout
176,-0.0839,11.7504,0.18,0.3,timeout,timeout
177,21.2484,20.2926,0.16,0.28,timeout,timeout
178,13.2755,20.6764,0.16,0.28,timeout,timeout
179,13.7303,25.2627,0.14,0.28,timeout,success
180,-11.5057,16.5408,0.14,0.28,timeout,timeout
